OBSNUM	XVAL	PROB_AVG	AREA1	AREACORR	AREATOT	PERCENT
228	1.14	0.0457907642799754	0.000228953821399877	0.000230394216183822	0.0204852477852713	2.85
229	1.145	0.0460788630761233	0.000230394315380616	0.00023183490855815	0.0207170826938295	2.8625
230	1.15	0.0463669983531008	0.000231834991765504	0.000233275751357745	0.0209503584451872	2.875
231	1.155	0.0466551637364727	0.000233275818682364	0.000234716712923841	0.0211850751581111	2.8875
232	1.16	0.0469433528943854	0.000234716764471927	0.000236157761809576	0.0214212329199206	2.9
233	1.165	0.0472315595373665	0.000236157797686832	0.000237598866778994	0.0216588317866996	2.9125
234	1.17	0.0475197774181252	0.000237598887090626	0.000239039996806052	0.0218978717835057	2.925
235	1.175	0.047808000331354	0.00023904000165677	0.000240481121073632	0.0221383529045793	2.9375
236	1.18	0.0480962221135303	0.000240481110567652	0.000241922208972553	0.0223802751135519	2.95
237	1.185	0.0483844366427197	0.000241922183213599	0.000243363230100591	0.0226236383436524	2.9625
238	1.19	0.0486726378383793	0.000243363189191896	0.0002448041542615	0.0228684424979139	2.975
239	1.195	0.0489608196611624	0.000244804098305812	0.00024624495146404	0.023114687449378	2.9875
240	1.2	0.0492489761127238	0.000246244880563619	0.000247685591921005	0.023362373041299	3
241	1.205	0.0495371012355256	0.000247685506177628	0.00024912604604826	0.0236114990873473	3.0125
242	1.21	0.0498251891126444	0.000249125945563222	0.000250566284463777	0.023862065371811	3.025
243	1.215	0.0501132338675784	0.000250566169337892	0.000252006277986676	0.0241140716497977	3.0375
244	1.22	0.0504012296640561	0.00025200614832028	0.000253445997636273	0.024367517647434	3.05
245	1.225	0.0506891707058454	0.000253445853529227	0.000254885414631128	0.0246224030620651	3.0625
246	1.23	0.0509770512365635	0.000254885256182818	0.000256324500388098	0.0248787275624532	3.075
247	1.235	0.0512648655394875	0.000256324327697438	0.000257763226521397	0.0251364907889746	3.0875
248	1.24	0.0515526079373658	0.000257763039686829	0.000259201564841653	0.0253956923538163	3.1
249	1.245	0.0518402727922306	0.000259201363961153	0.000260639487354976	0.0256563318411712	3.1125
250	1.25	0.0521278545052103	0.000260639272526051	0.000262076966262025	0.0259184088074333	3.125
251	1.255	0.0524153475163438	0.000262076737581719	0.000263513973957081	0.0261819227813903	3.1375
